Title,Authors,Abstract,Publication Date,Journal,Keywords,MeSH Terms,DOI,Author Affiliations
Frontal analysis capillary electrophoresis: recent advances and future perspectives.,"Edwin F Romano, Joselito P Quirino","The developments on frontal analysis capillary electrophoresis (FACE) from 2012 to 2017 to study interactions of simple and complex systems are reviewed. Most research papers focused on therapeutic drug-related studies; however, other studies include chemical sensing, drug delivery, inhibitor screening and capillary coating. New ligand-substrate systems such as template-molecularly imprinted polymer systems were reported. Comparison of FACE with other analytical techniques used to investigate binding interaction, and the determination of binding parameters using different isotherm models are also covered. In 2017, eight research papers were reported including new detection by ESI-MS. Future research direction of FACE may include high sensitivity detection and throughput screening of drugs, natural products and biomarkers for clinical diagnosis.",,Bioanalysis,"binding parameters, capillary coating, frontal analysis capillary electrophoresis, ligand–substrate interaction, method of detection","electrophoresis, capillary, humans, ligands, pharmaceutical preparations, spectrometry, mass, electrospray ionization",10.4155/bio-2018-0051,"Department of Chemistry, Negros Oriental State University, Dumaguete City 6200, Philippines., Department of Chemistry, Negros Oriental State University, Dumaguete City 6200, Philippines."
Drug target residence time: a misleading concept.,Rutger H A Folmer,"Since the importance of drug target residence time was first highlighted more 10 years ago, slow binding kinetics has received much attention in the drug discovery literature, and indeed within pharmaceutical research. However, the residence concept as presented in most papers is supported by rather misleading simulations and arguments, and by examples where compounds are taken out of their pharmacokinetic context. Moreover, fast association is typically more desirable than slow, and advantages of long residence time, notably a potential disconnect between pharmacodynamics (PD) and pharmacokinetics (PK), would be partially or completely offset by slow on-rate. Therefore, plain potency is likely a better predictor of drug development success than is residence time.",2017-01-01,Drug Discovery Today,no keywords,"animals, drug discovery, kinetics, ligands, models, biological, pharmaceutical preparations, pharmacokinetics",10.1016/j.drudis.2017.07.016,"Discovery Sciences, Innovative Medicines and Early Development Biotech Unit, AstraZeneca, Pepparedsleden 1, Mölndal, 431 83, Sweden. Electronic address: rfolmer@yahoo.com."
Improving properties of Hanji by coating chitosan-silver nanoparticle solution.,"Jeyoung Jung, Gownolla Malegowd Raghavendra, Dowan Kim, Jongchul Seo","A chitosan-silver nanoparticle solution (CSNS) was applied as a coating material to Hanji (Korean traditional paper), and the properties of the coated paper were investigated as a function of the dilution ratio. The required CSNS was first prepared from AgNO<sub>3</sub> (30mmol) by utilizing chitosan as a reducing and stabilizing agent via ultrasonication. The as-prepared CSNS was diluted to various ratios (undiluted, 1/10, 1/100, and 1/1000) and applied to Hanji by a dip-coating method. The tensile, burst, oil resistance, and antibacterial properties of the coated Hanji against Escherichia coli were evaluated. Among the various dilution ratios, the maximum level of dilution that can positively influence the tensile, burst, oil resistance, and antibacterial properties of Hanji was identified as 1/10, 1/100, 1/10 and 1/1000 of the pure CSNS, respectively. These findings are significant because a specific property of Hanji can be economically improved by changing the dilution ratio.",2016-01-01,International Journal Of Biological Macromolecules,"chitosan, hanji, silver nanoparticles","anti-bacterial agents, biofouling, chitosan, escherichia coli, metal nanoparticles, microbial sensitivity tests, paper, silver nitrate, solutions, tensile strength",10.1016/j.ijbiomac.2016.09.067,"Department of Packaging, Yonsei University, Gangwondo 220-710, Republic of Korea., Department of Packaging, Yonsei University, Gangwondo 220-710, Republic of Korea., Department of Packaging, Yonsei University, Gangwondo 220-710, Republic of Korea., Department of Packaging, Yonsei University, Gangwondo 220-710, Republic of Korea. Electronic address: jcseo@yonsei.ac.kr."
Modifications of the Method for Calculating Absolute Drug Bioavailability.,"Wei Jiang, Juan-Juan Yang, Lei Cao, Xue Xiao, Xiao-Lian Shi, Yong-Xiao Cao","Absolute bioavailability (F) is calculated as the ratio of the area under the plasma drug concentration-time curve (AUC) between extravascular administration and intravenous injection. However, as distribution of a drug after intravenous administration does not reach an equilibrium in the body during the distribution phase, the plasma drug concentration at this phase does not reflect the total amount of drug in the body. The goal of this paper was to analyze the insufficiencies of the method for calculating on absolute bioavailability and to propose a modification to improve the calculation.",,"Journal Of Pharmacy & Pharmaceutical Sciences : A Publication Of The Canadian Society For Pharmaceutical Sciences, Societe Canadienne Des Sciences Pharmaceutiques",no keywords,"biological availability, drug administration routes, humans, pharmaceutical preparations",10.18433/J3RG78,"Department of Pharmacology, Xi'an Jiaotong University College of Medicine."
The read-across hypothesis and environmental risk assessment of pharmaceuticals.,"Mariann Rand-Weaver, Luigi Margiotta-Casaluci, Alpa Patel, Grace H Panter, Stewart F Owen, John P Sumpter","Pharmaceuticals in the environment have received increased attention over the past decade, as they are ubiquitous in rivers and waterways. Concentrations are in sub-ng to low μg/L, well below acute toxic levels, but there are uncertainties regarding the effects of chronic exposures and there is a need to prioritise which pharmaceuticals may be of concern. The read-across hypothesis stipulates that a drug will have an effect in non-target organisms only if the molecular targets such as receptors and enzymes have been conserved, resulting in a (specific) pharmacological effect only if plasma concentrations are similar to human therapeutic concentrations. If this holds true for different classes of pharmaceuticals, it should be possible to predict the potential environmental impact from information obtained during the drug development process. This paper critically reviews the evidence for read-across, and finds that few studies include plasma concentrations and mode of action based effects. Thus, despite a large number of apparently relevant papers and a general acceptance of the hypothesis, there is an absence of documented evidence. There is a need for large-scale studies to generate robust data for testing the read-across hypothesis and developing predictive models, the only feasible approach to protecting the environment.",2013-01-01,Environmental Science & Technology,no keywords,"animals, ecological and environmental phenomena, humans, models, theoretical, pharmaceutical preparations, risk assessment",10.1021/es402065a,"Biosciences, School of Health Sciences and Social Care, Brunel University , Uxbridge, Middlesex, UB8 3PH, United Kingdom."
In vitro and in vivo testing methods for respiratory drug delivery.,"Remigius U Agu, Michael I Ugwoke",Successful respiratory drug delivery for local and systemic purposes is predicated on the availability of in vitro and in vivo methods for determining drug delivery and disposition following respiratory administration.,,Expert Opinion On Drug Delivery,no keywords,"administration, inhalation, aerosols, animals, drug delivery systems, drug design, humans, particle size, pharmaceutical preparations, respiratory tract diseases, solubility",10.1517/17425247.2011.543896,"Dalhousie University, College of Pharmacy, Faculty of Health Professions, Biopharmaceutics and Drug Delivery Laboratory, Halifax, NS, Canada. Remigius.agu@dal.ca"
On-Site Ultrasensitive Detection Paper for Multiclass Chemical Contaminants via Universal Bridge-Antibody Labeling: Mycotoxin and Illegal Additives in Milk as an Example.,"Guanghua Li, Lin Xu, Wenqin Wu, Du Wang, Jun Jiang, Xiaomei Chen, Wen Zhang, Saranya Poapolathep, Amnart Poapolathep, Zhaowei Zhang, Qi Zhang, Peiwu Li","Multiclass chemical contamination of food has aroused ever-increasing attention due to the increasingly common findings of the co-occurrence of multiclass contamination, such as mycotoxin (aflatoxin M1, AFM1) and illegal additive (melamine, MEL). In the present study, a rapid, ultrasensitive detection paper was developed on the basis of a unique bridge-antibody label to realize on-site simultaneous detection of AFM1 and MEL in milk. This detection paper used the bridge-antibody label on fluorescent particles (i.e., the fluorescent Eu nanoparticles were first conjugated with polyclonal antibodies and then with monoclonal antibodies). Dramatically enhanced sensitivity was found, probably due to the increase in immobilization of efficient monoclonal antibodies onto microspheres. Under optimal conditions, the lower limits of detection were 0.009 and 0.024 ng/mL for AFM1 and MEL in milk, respectively, in comparison with similar works. Moreover, the cutoff values were 0.4 and 150 ng/mL for AFM1 and MEL, respectively. The recoveries ranged from 88.7% to 105.0% for AFM1 and from 84.6% to 117.7% for MEL, with relative standard deviations (RSDs) of 0.5-9.9% during the intraday and interday experiments. Comparison experiments conducted using the detection paper, HPLC, and UPLC-MS/MS found excellent agreement in the simultaneous detection of AFM1 and MEL in milk. This proposed method can be extensively employed for simultaneous monitoring of multiclass chemical contaminants to ensure food safety.",2018-01-01,Analytical Chemistry,no keywords,"aflatoxin m1, animals, antibodies, food additives, food contamination, food safety, illicit drugs, milk, paper",10.1021/acs.analchem.8b04290,"Oil Crops Research Institute of the Chinese Academy of Agricultural Sciences , Wuhan 430062 , People's Republic of China., Oil Crops Research Institute of the Chinese Academy of Agricultural Sciences , Wuhan 430062 , People's Republic of China., Oil Crops Research Institute of the Chinese Academy of Agricultural Sciences , Wuhan 430062 , People's Republic of China., Oil Crops Research Institute of the Chinese Academy of Agricultural Sciences , Wuhan 430062 , People's Republic of China., Oil Crops Research Institute of the Chinese Academy of Agricultural Sciences , Wuhan 430062 , People's Republic of China., Oil Crops Research Institute of the Chinese Academy of Agricultural Sciences , Wuhan 430062 , People's Republic of China., Oil Crops Research Institute of the Chinese Academy of Agricultural Sciences , Wuhan 430062 , People's Republic of China., Department of Pharmacology, Faculty of Veterinary Medicine , Kasetsart University , Bangkok 10900 , Thailand., Department of Pharmacology, Faculty of Veterinary Medicine , Kasetsart University , Bangkok 10900 , Thailand., Oil Crops Research Institute of the Chinese Academy of Agricultural Sciences , Wuhan 430062 , People's Republic of China., Key Laboratory of Biology and Genetic Improvement of Oil Crops , Ministry of Agriculture , Wuhan 430062 , People's Republic of China., Key Laboratory of Biology and Genetic Improvement of Oil Crops , Ministry of Agriculture , Wuhan 430062 , People's Republic of China."
"Wood-Derived Materials for Green Electronics, Biological Devices, and Energy Applications.","Hongli Zhu, Wei Luo, Peter N Ciesielski, Zhiqiang Fang, J Y Zhu, Gunnar Henriksson, Michael E Himmel, Liangbing Hu","With the arising of global climate change and resource shortage, in recent years, increased attention has been paid to environmentally friendly materials. Trees are sustainable and renewable materials, which give us shelter and oxygen and remove carbon dioxide from the atmosphere. Trees are a primary resource that human society depends upon every day, for example, homes, heating, furniture, and aircraft. Wood from trees gives us paper, cardboard, and medical supplies, thus impacting our homes, school, work, and play. All of the above-mentioned applications have been well developed over the past thousands of years. However, trees and wood have much more to offer us as advanced materials, impacting emerging high-tech fields, such as bioengineering, flexible electronics, and clean energy. Wood naturally has a hierarchical structure, composed of well-oriented microfibers and tracheids for water, ion, and oxygen transportation during metabolism. At higher magnification, the walls of fiber cells have an interesting morphology-a distinctly mesoporous structure. Moreover, the walls of fiber cells are composed of thousands of fibers (or macrofibrils) oriented in a similar angle. Nanofibrils and nanocrystals can be further liberated from macrofibrils by mechanical, chemical, and enzymatic methods. The obtained nanocellulose has unique optical, mechanical, and barrier properties and is an excellent candidate for chemical modification and reconfiguration. Wood is naturally a composite material, comprised of cellulose, hemicellulose, and lignin. Wood is sustainable, earth abundant, strong, biodegradable, biocompatible, and chemically accessible for modification; more importantly, multiscale natural fibers from wood have unique optical properties applicable to different kinds of optoelectronics and photonic devices. Today, the materials derived from wood are ready to be explored for applications in new technology areas, such as electronics, biomedical devices, and energy. The goal of this study is to review the fundamental structures and chemistries of wood and wood-derived materials, which are essential for a wide range of existing and new enabling technologies. The scope of the review covers multiscale materials and assemblies of cellulose, hemicellulose, and lignin as well as other biomaterials derived from wood, in regard to their major emerging applications. Structure-properties-application relationships will be investigated in detail. Understanding the fundamental properties of these structures is crucial for designing and manufacturing products for emerging applications. Today, a more holistic understanding of the interplay between the structure, chemistry, and performance of wood and wood-derived materials is advancing historical applications of these materials. This new level of understanding also enables a myriad of new and exciting applications, which motivate this review. There are excellent reviews already on the classical topic of woody materials, and some recent reviews also cover new understanding of these materials as well as potential applications. This review will focus on the uniqueness of woody materials for three critical applications: green electronics, biological devices, and energy storage and bioenergy.",2016-01-01,Chemical Reviews,no keywords,"biosensing techniques, cellulose, electrical equipment and supplies, electrochemical techniques, green chemistry technology, hydrogels, lab-on-a-chip devices, lignin, membranes, artificial, nanofibers, paper, polysaccharides, porosity, renewable energy, wood",10.1021/acs.chemrev.6b00225,"Department of Materials Science and Engineering, University of Maryland , College Park, Maryland 20742, United States., Department of Materials Science and Engineering, University of Maryland , College Park, Maryland 20742, United States., Biosciences Center, National Renewable Energy Laboratory , 15013 Denver West Parkway, Golden, Colorado 80401, United States., Department of Materials Science and Engineering, University of Maryland , College Park, Maryland 20742, United States., Forest Products Laboratory, USDA Forest Service , Madison, Wisconsin 53726, United States., Division of Wood Chemistry and Pulp Technology, Department of Fiber and Polymer Technology, Royal Institute of Technology, KTH , Stockholm, Sweden., Biosciences Center, National Renewable Energy Laboratory , 15013 Denver West Parkway, Golden, Colorado 80401, United States., Department of Materials Science and Engineering, University of Maryland , College Park, Maryland 20742, United States."
"Investigating the disposal of expired and unused medication in Riyadh, Saudi Arabia: a cross-sectional study.","Fatma Al-Shareef, Sarah Abu El-Asrar, Lamyaa Al-Bakr, Maisam Al-Amro, Fulwah Alqahtani, Fadilah Aleanizy, Sarah Al-Rashood","Background Improper disposal of medication has several possible consequences such as childhood poisoning, environmental pollution, a negative impact on wildlife, and antibiotic resistance. The number of studies conducted to characterize pharmaceutical disposal practices is limited, particularly in the Middle East. Objective The aim of this cross-sectional study was to examine the behaviour of individuals with respect to the disposal of expired and unused medications. Furthermore, we aimed to identify the best methods of education regarding appropriate, safe disposal of medication. Setting The study was carried out in King Khalid University Hospital (KKUH), and King Saud University (KSU), during a 3-month period from February 2015 to April 2015. Method Twelve hundred patients were randomly selected from KKUH and KSU. Participants were invited to complete paper-based questionnaire with self enumeration. Pilot testing was conducted and involved 50 randomly selected participants. Main outcome measures The proportion of expired medications present in the home and their therapeutic groups, disposal methods of expired and unused medications, and preferred educational methods regarding safe and proper disposing of medications. Results A substantial proportion (79.15 %) of respondents disposed of unwanted medication via household waste, while a small proportion (1.70 %) returned unwanted medication to a pharmacy. Although currently practised disposal methods are undoubtedly unsuitable, 70.20 % of respondents considered finding appropriate, safe methods via which to dispose of unwanted medication their responsibility, and 78.6 % expressed an interest in receiving information concerning the correct disposal of unwanted medication. Conclusion We have demonstrated that a low percentage of respondents have ever received information regarding correct medication disposal. Moreover, the results have shown that over half of the respondents store antibiotics in their households. Additionally, respondents weren't aware of the consequences of keeping expired medication at home. It is quite clear that the awareness of proper and safe drug disposal among the Saudi population is quite low making it a priority of concerned authorities to implement educational programs.",2016-01-01,International Journal Of Clinical Pharmacy,"medication disposal, medication waste, saudi arabia, unused medications","adolescent, adult, cross-sectional studies, female, health knowledge, attitudes, practice, humans, male, medical waste disposal, middle aged, patient education as topic, patients, pharmaceutical preparations, saudi arabia, young adult",10.1007/s11096-016-0287-4,"Saudi Medication Safety Centre, Ministry of National Guard, Health Affairs, Riyadh, 22490, Saudi Arabia. shareeff@ngha.med.sa., College of Pharmacy, King Saud University, Riyadh, 22452, Saudi Arabia., College of Pharmacy, King Saud University, Riyadh, 22452, Saudi Arabia., College of Pharmacy, King Saud University, Riyadh, 22452, Saudi Arabia., Department of Pharmaceutics, College of Pharmacy, King Saud University, Riyadh, 22452, Saudi Arabia., Department of Pharmaceutics, College of Pharmacy, King Saud University, Riyadh, 22452, Saudi Arabia., Department of Medicinal Chemistry, College of Pharmacy, King Saud University, Riyadh, 22452, Saudi Arabia."
Development of a Paper-Based Viscometer for Blood Plasma Using Colorimetric Analysis.,"Hyunwoong Kang, Ilhoon Jang, Simon Song, Sang-Cheol Bae","The viscosity of biofluids can be used to acquire meaningful medical information on the conditions of a patient but has seldom been utilized in clinical practices owing to cumbersome measurement procedures and the need for large sample volumes. We present a colorimetric method to measure the viscosity of blood plasma using a paper-based viscometer developed in this study specifically for clinical diagnosis. The proposed analytical device consists of multilayered papers with fluid-loading, -mixing, and -measuring regions, and it can be fabricated readily in a simple manner using three-layered paper channels and tape. Moreover, the colorimetric analysis enables viscosity estimations by analyzing a single optical image. To validate the device performance, we measured the viscosities of fluids such as glycerin aqueous solutions, bovine-serum-albumin solution, dimethyl sulfoxide, and blood plasma. We found that the measured viscosities were in good agreement with the reference values. Finally, we developed a simple smartphone application for the viscosity measurements that helped enhance the convenience and utility of the paper-based viscometer while maintaining the measurement accuracy.",2019-01-01,Analytical Chemistry,no keywords,"blood viscosity, colorimetry, glycerol, humans, paper, smartphone",10.1021/acs.analchem.9b00624,"Department of Mechanical Engineering , Hanyang University , Seoul 04763 , Korea., Institute of Nano Science and Technology , Hanyang University , Seoul 04763 , Korea., Department of Mechanical Engineering , Hanyang University , Seoul 04763 , Korea., Department of Rheumatology , Hanyang University Hospital for Rheumatic Diseases , Seoul 04763 , Korea."
Electronic prescription system requirements: a scoping review.,"Marjan Vejdani, Mehdi Varmaghani, Marziyhe Meraji, Jamshid Jamali, Elaheh Hooshmand, Ali Vafaee-Najar","An electronic prescription system is a mechanism that has long been implemented in many countries around the world. In the present study, we reviewed the requirements, standards, and features of an electronic prescription system for its correct and accurate execution.",2022-01-01,Bmc Medical Informatics And Decision Making,"electronic prescription, requirements, standards","electronic prescribing, humans, pharmaceutical preparations",231,"Student Research Committee, Mashhad University of Medical Sciences, Mashhad, Iran., Department of Health Economic and Management Sciences, School of Health, Mashhad University of Medical Sciences, Daneshgah 18, Mashhad, Khorasan Razavi, Iran., Department of Health Information Technology, School of Paramedical Sciences, Mashhad University of Medical Sciences, Mashhad, Iran., Department of Biostatistics, School of Health, Social Determinants of Health Research Center, Mashhad University of Medical Sciences, Mashhad, Iran., Department of Health Economic and Management Sciences, School of Health, Mashhad University of Medical Sciences, Daneshgah 18, Mashhad, Khorasan Razavi, Iran. houshmande@mums.ac.ir., Department of Health Economic and Management Sciences, School of Health, Mashhad University of Medical Sciences, Daneshgah 18, Mashhad, Khorasan Razavi, Iran. vafaeea@mums.ac.ir."
Uptake of pharmaceuticals by plants grown under hydroponic conditions and natural occurring plant species: A review.,"Lawrence Mzukisi Madikizela, Somandla Ncube, Luke Chimuka","Sizeable amount of research has been conducted on the possible uptake of pharmaceuticals by plants from contaminated soil and water used for irrigation of crops. In most cases, pharmaceuticals are taken by roots and translocated into various tissues by transpiration and diffusion. Due to the plant uptake, the occurrence of pharmaceuticals in food sources such as vegetables is a public concern. Few review papers focusing on the uptake of pharmaceuticals, in particular antibiotics, and their translocation in plant tissues have been published. In the current review paper, the work conducted on the uptake of pharmaceuticals belonging to different therapeutic groups such as antibiotics, non-steroidal anti-inflammatory drugs, β-blockers and antiepileptics is reviewed. Such work includes the occurrence of pharmaceuticals in plants, translocation once taken by plants, toxicity studies as well as implications and future studies. Furthermore, the advantages and drawbacks associated with the detection and uptake of these pharmaceuticals by plants are discussed. In addition, the physico-chemical properties that could influence the plant uptake of pharmaceuticals are deliberated.",2018-01-01,The Science Of The Total Environment,"pharmaceuticals, plant uptake, toxicity, translocation","biological transport, crops, agricultural, hydroponics, pharmaceutical preparations, plant roots, vegetables, water pollutants, chemical",10.1016/j.scitotenv.2018.04.297,"Department of Chemistry, Durban University of Technology, P. O. Box 1334, Durban 4000, South Africa. Electronic address: lawrencem2@dut.ac.za., Molecular Sciences Institute, University of Witwatersrand, Private Bag X3, Johannesburg 2050, South Africa., Molecular Sciences Institute, University of Witwatersrand, Private Bag X3, Johannesburg 2050, South Africa."
"Advances in Drug Delivery Systems, from 0 to 3D superstructures.","Marius Radulescu, Simona Popescu, Denisa Ficai, Maria Sonmez, Ovidiu Oprea, Angela Spoiala, Anton Ficai, Ecaterina Andronescu","Nanomedicine is currently exploited for manufacturing therapeutic DDS and treatments protocols for various diseases and disorders. To obtain DDS, different types of materials are used, from organic to inorganic, polar to non-polar, micro to nanomaterials from 0D to 3D structured materials, respectively. Many of these materials were extensively studied and reviewed in the literature.",,Current Drug Targets,"0-3d materials, nanotechnology, drug delivery, nanomedicine, nanoparticles, superstructures.","animals, drug carriers, drug delivery systems, humans, molecular structure, pharmaceutical preparations, porosity, theranostic nanomedicine",10.2174/1389450117666160401122926,"POLITEHNICA University of Bucharest, Faculty of Applied Chemistry and Material Science; 1-7 Polizu Str., 011061 Bucharest, Romania., POLITEHNICA University of Bucharest, Faculty of Applied Chemistry and Material Science; 1-7 Polizu Str., 011061 Bucharest, Romania., POLITEHNICA University of Bucharest, Faculty of Applied Chemistry and Material Science; 1-7 Polizu Str., 011061 Bucharest, Romania., Leather and Footwear Research Institute, Department of Rubber, 93 Ion Minulescu street, 031215, Bucharest, Romania., POLITEHNICA University of Bucharest, Faculty of Applied Chemistry and Material Science; 1-7 Polizu Str., 011061 Bucharest, Romania., POLITEHNICA University of Bucharest, Faculty of Applied Chemistry and Material Science; 1-7 Polizu Str., 011061 Bucharest, Romania., POLITEHNICA University of Bucharest, Faculty of Applied Chemistry and Material Science; 1-7 Polizu Str., 011061 Bucharest, Romania., POLITEHNICA University of Bucharest, Faculty of Applied Chemistry and Material Science; 1-7 Polizu Str., 011061 Bucharest, Romania."
Pharmaceutical applications of vibrational chemical imaging and chemometrics: a review.,"C Gendrin, Y Roggo, C Collet","The emergence of chemical imaging (CI) has gifted spectroscopy an additional dimension. Chemical imaging systems complement chemical identification by acquiring spatially located spectra that enable visualization of chemical compound distributions. Such techniques are highly relevant to pharmaceutics in that the distribution of excipients and active pharmaceutical ingredient informs not only a product's behavior during manufacture but also its physical attributes (dissolution properties, stability, etc.). The rapid image acquisition made possible by the emergence of focal plane array detectors, combined with publication of the Food and Drug Administration guidelines for process analytical technology in 2001, has heightened interest in the pharmaceutical applications of CI, notably as a tool for enhancing drug quality and understanding process. Papers on the pharmaceutical applications of CI have been appearing in steadily increasing numbers since 2000. The aim of the present paper is to give an overview of infrared, near-infrared and Raman imaging in pharmaceutics. Sections 2 and 3 deal with the theory, device set-ups, mode of acquisition and processing techniques used to extract information of interest. Section 4 addresses the pharmaceutical applications.",2008-01-01,Journal Of Pharmaceutical And Biomedical Analysis,no keywords,"chemistry, pharmaceutical, drug compounding, drug design, equipment design, image processing, computer-assisted, pharmaceutical preparations, pharmacy, spectroscopy, near-infrared, spectrum analysis, raman, tablets, technology, pharmaceutical",10.1016/j.jpba.2008.08.014,"F. Hoffmann-La Roche A.G., Basel, Switzerland. christelle.gendrin@roche.com"
Preface for the selected papers from Recent Developments in Pharmaceutical Analysis 2021 (RDPA2021) special issue.,"Federica Pellati, Bezhan Chankvetadze",No abstract available,2022-01-01,Journal Of Pharmaceutical And Biomedical Analysis,no keywords,pharmaceutical preparations,10.1016/j.jpba.2022.115013,"Department of Life Sciences University of Modena and Reggio Emilia, Modena, Italy., Ivane Javakhishvili Tbilisi State University, Tbilisi, Georgia. Electronic address: jpba_bezhan@yahoo.com."
Estimating the impact of label design on reducing the risk of medication errors by applying HEART in drug administration.,"Carlos Aceves-Gonzalez, Angela Caro-Rojas, John A Rey-Galindo, Luz Aristizabal-Ruiz, Karen Hernández-Cruz","Medication errors are one of the biggest problems in healthcare. The medicines' poor labelling design (i.e. look-alike labels) is a well-recognised risk for potential confusion, wrong administration, and patient damage. Human factors and ergonomics (HFE) encourages the human-centred design of system elements, which might reduce medication errors and improve people's well-being and system performance.",2024-01-01,European Journal Of Clinical Pharmacology,"heart, label design, medication errors","infant, newborn, humans, reproducibility of results, medication errors, pharmaceutical preparations, intensive care units, neonatal, drug labeling",10.1007/s00228-024-03619-3,"Universidad de Guadalajara, Guadalajara, Mexico. c.aceves@academicos.udg.mx., International Society of Pharmacovigilance, London, UK., Universidad de Guadalajara, Guadalajara, Mexico., Vitalis Lab, Bogota, Colombia., Vitalis Lab, Bogota, Colombia."
Identifying the data elements and functionalities of clinical decision support systems to administer medication for neonates and pediatrics: a systematic literature review.,"Somaye Norouzi, Zahra Galavi, Leila Ahmadian","Patient safety is a central healthcare policy worldwide. Adverse drug events (ADE) are among the main threats to patient safety. Children are at a higher risk of ADE in each stage of medication management process. ADE rate is high in the administration stage, as the final stage of preventing medication errors in pediatrics and neonates. The most effective way to reduce ADE rate is using medication administration clinical decision support systems (MACDSSs). The present study reviewed the literature on MACDSS for neonates and pediatrics. It identified and classified the data elements that mapped onto the Fast Healthcare Interoperability Resources (FHIR) standard and the functionalities of these systems to guide future research.",2023-01-01,Bmc Medical Informatics And Decision Making,"clinical decision support system, data element, functionality, hl7 fihr, medication administration, systematic literature review","infant, newborn, humans, child, decision support systems, clinical, pharmaceutical preparations, medication errors, drug-related side effects and adverse reactions, patient safety",263,"Department of Health Information Sciences, Faculty of Management and Medical Information Sciences, Kerman University of Medical Sciences, Kerman, Iran., Department of Health Information Sciences, Faculty of Management and Medical Information Sciences, Kerman University of Medical Sciences, Kerman, Iran., Department of Health Information Sciences, Faculty of Management and Medical Information Sciences, Kerman University of Medical Sciences, Kerman, Iran. ahmadianle@yahoo.com."
Container-content interactions with radiopharmaceuticals: Seeing is believing.,"Typhanie Ladrière, Laura Aussage, Jonathan Vigne","This perspective article addresses the critical issue of container-content interactions in the administration of intravenous medications, with a focus on radiopharmaceuticals used in nuclear medicine. Medication administration errors pose a significant challenge to patient safety. The ""five rights"" framework-ensuring the right patient, drug, time, dose, and route-serves as a cornerstone for safe drug administration. In the context of radiopharmaceuticals, notable for their use in nuclear medicine, adherence to these principles is paramount due to their unique properties and role in diagnostic and therapeutic procedures. The article explores the impact of container materials, particularly in syringes, on radiopharmaceutical stability and administration accuracy. It delves into the complexities of sorption phenomena, highlighting studies demonstrating its occurrence and potential consequences, including variations in administered doses and compromised diagnostic or therapeutic outcomes. Noteworthy factors influencing sorption include the type of radiopharmaceutical, container composition, molecular properties, and dilution. Findings revealing residual activity in syringes and identifying specific components, such as lubricants, silicon gaskets, and plungers, contributing to adsorption are presented. Migration of metal contaminants from container to content is discussed, emphasizing the potential impact on radiochemical yield and stability. There is a need for comprehensive studies to characterize drug-container interactions and poses crucial questions about the true benefit patients derive from prescribed activities. It challenges current practices, suggesting a need for tailored activity levels, container validation protocols, and rigorous testing of hospital preparations. Ultimately, this perspective paper calls for a deeper understanding of these interactions, urging regulatory consideration and standardization to ensure optimal drug administration and patient outcomes.",2024-01-01,European Journal Of Pharmaceutics And Biopharmaceutics : Official Journal Of Arbeitsgemeinschaft Fur Pharmazeutische Verfahrenstechnik E.V,"adsorption, container-content interactions, hospital preparation, nuclear medicine, radiopharmaceuticals, syringes","humans, radiopharmaceuticals, drug packaging, pharmaceutical preparations, syringes",10.1016/j.ejpb.2024.114200,"Department of Nuclear Medicine, CHU de Caen Normandie, Normandy University, UNICAEN, 14000 Caen, France; Department of Pharmacy, CHU de Caen Normandie, Normandy University, UNICAEN, 14000 Caen, France., Department of Nuclear Medicine, CHU de Caen Normandie, Normandy University, UNICAEN, 14000 Caen, France; Department of Pharmacy, CHU de Caen Normandie, Normandy University, UNICAEN, 14000 Caen, France., Department of Nuclear Medicine, CHU de Caen Normandie, Normandy University, UNICAEN, 14000 Caen, France; Department of Pharmacy, CHU de Caen Normandie, Normandy University, UNICAEN, 14000 Caen, France; Normandie Université, UNICAEN, INSERM U1237, PhIND, Institut Blood and Brain @ Caen Normandie, Centre Cyceron, 14000 Caen, France. Electronic address: vigne-jo@chu-caen.fr."
High-throughput purification platform in support of drug discovery.,"Min Liu, Kuanchang Chen, Denny Christian, Tazeen Fatima, Natalya Pissarnitski, Eric Streckfuss, Chaowei Zhang, Lei Xia, Scott Borges, Zhicai Shi, Petr Vachal, James Tata, John Athanasopoulos","The application of parallel synthesis is an efficient approach to explore the chemical space and to rapidly develop meaningful structure activity relationship (SAR) data for drug discovery programs. However, the effectiveness of the parallel synthesis requires a high throughput purification workflow that can process a large number of crude samples within a meaningful time frame. This paper describes a high throughput purification platform that has been adopted at Merck's Rahway research site. The platform includes the evaluation of crude samples, mass-directed HPLC purification, fraction analysis, compound registration, final compound purity assessment and assay distribution. Assisting with the sample tracking and the data management is the internally designed laboratory information management system, Light Automation Framework (LAF). Using this process and the tools described herein, the group has successfully achieved purities of 95% or greater for 90% of samples.",2011-01-01,Acs Combinatorial Science,no keywords,"chromatography, high pressure liquid, drug discovery, equipment design, high-throughput screening assays, pharmaceutical preparations, quality control, structure-activity relationship",10.1021/co200138h,"Merck & Company, Rahway, New Jersey 07065, United States. min_liu@merck.com"
