ID,Title,Abstract,Keywords,Journal,processed_text
498,Absorption enhancers: applications and advances.,"Absorption enhancers are functional excipients included in formulations to improve the absorption of a pharmacologically active drug. The term absorption enhancer usually refers to an agent whose function is to increase absorption by enhancing membrane permeation, rather than increasing solubility, so such agents are sometimes more specifically termed permeation enhancers. Absorption enhancers have been investigated for at least two decades, particularly in efforts to develop non-injection formulations for peptides, proteins, and other pharmacologically active compounds that have poor membrane permeability. While at least one product utilizing an absorption enhancer for transdermal use has reached the market, quite a few more appear to be at the threshold of becoming products, and these include oral and transmucosal applications. This paper will review some of the most advanced absorption enhancers currently in development and the formulation technologies employed that have led to their success. In addition, a more basic review of the barriers to absorption and the mechanisms by which those barriers can be surmounted is presented. Factors influencing the success of absorption-enhancing formulations are discussed. If ultimately successful, the products now in development should offer non-injection alternatives for several peptide or protein drugs currently only administered by injection. The introduction of new absorption enhancers as accepted pharmaceutical excipients, and the development of formulation technologies that afford the greatest benefit/risk ratio for their use, may create opportunities to apply these enabling technologies more broadly to existing drugs with non-optimal delivery properties.",no keywords,The Aaps Journal,absorpt enhanc function excipi includ formul improv absorpt pharmacolog activ drug term absorpt enhanc usual refer agent whose function increas absorpt enhanc membran permeat rather increas solubl agent sometim specif term permeat enhanc absorpt enhanc investig least two decad particularli effort develop formul peptid protein pharmacolog activ compound poor membran permeabl least one product util absorpt enhanc transderm use reach market quit appear threshold becom product includ oral transmucos applic paper review advanc absorpt enhanc current develop formul technolog employ led success addit basic review barrier absorpt mechan barrier surmount present factor influenc success formul discus ultim success product develop offer altern sever peptid protein drug current administ inject introduct new absorpt enhanc accept pharmaceut excipi develop formul technolog afford greatest ratio use may creat opportun appli enabl technolog broadli exist drug deliveri properti absorpt enhanc applic advanc
499,Control and analysis of alkyl and benzyl halides and other related reactive organohalides as potential genotoxic impurities in active pharmaceutical ingredients (APIs).,"This paper continues the review of the relevant scientific literature associated with the control and analysis of potential genotoxic impurities (PGIs) in active pharmaceutical ingredients (APIs). The initial review [D.P. Elder, A. Teasdale, A.M. Lipczynski, J. Pharm. Biomed. Anal. 46 (2008) 1-8.] focused on the specific class of sulfonate esters but in this instance reference is made to the analysis of alkyl and benzyl halides and other related reactive organohalide alkylating agents. Such reactive materials are commonly employed in pharmaceutical research and development as raw materials, reagents and intermediates in the chemical synthesis of new drug substances. Consequently a great deal of attention and effort is extended by the innovative and ethical pharmaceutical industry to ensure that appropriate and practicable control strategies are established during drug development to ensure residues of such agents, as potential impurities in new drug substances, are either eliminated or minimized to such an extent so as to not present a significant safety risk to volunteers and patients in clinical trials and beyond. The reliable trace analysis of such reactive organohalides is central to such control strategies and invariably involves a state-of-the-art combination of high-resolution separation science techniques coupled to sensitive and selective modes of detection. This article reports on the most recent developments in the regulatory environment, overall strategies for the control of alkylating agents and the latest developments in analysis culminating in a literature review of analytical approaches. The literature is sub-categorized by separation technique (gas chromatography (GC), high-performance liquid chromatography (HPLC), thin layer chromatography (TLC) and capillary zone electrophoresis (CZE)) and further tabulated by API type and impurity with brief method details and references. As part of this exercise, a selection of relevant pharmacopoeial monographs was also reviewed. The continued reliance on relatively non-specific and insensitive TLC methodologies in several monographs was noteworthy.",no keywords,Journal Of Pharmaceutical And Biomedical Analysis,paper continu review relev scientif literatur associ control analysi potenti genotox impur pgi activ pharmaceut ingredi api initi review elder teasdal lipczynski pharm biom anal focus specif class sulfon ester instanc refer made analysi alkyl benzyl halid relat reactiv organohalid alkyl agent reactiv materi commonli employ pharmaceut research develop raw materi reagent intermedi chemic synthesi new drug substanc consequ great deal attent effort extend innov ethic pharmaceut industri ensur appropri practic control strategi establish drug develop ensur residu agent potenti impur new drug substanc either elimin minim extent present signific safeti risk volunt patient clinic trial beyond reliabl trace analysi reactiv organohalid central control strategi invari involv combin separ scienc techniqu coupl sensit select mode detect articl report recent develop regulatori environ overal strategi control alkyl agent latest develop analysi culmin literatur review analyt approach literatur separ techniqu ga chromatographi gc liquid chromatographi hplc thin layer chromatographi tlc capillari zone electrophoresi cze tabul api type impur brief method detail refer part exercis select relev pharmacopoei monograph also review continu relianc rel insensit tlc methodolog sever monograph noteworthi control analysi alkyl benzyl halid relat reactiv organohalid potenti genotox impur activ pharmaceut ingredi api
500,Biomolecular Network Controllability With Drug Binding Information.,"Complex networks are ubiquitous in nature. In biological systems, biomolecules interact with each other to form so-called biomolecular networks, which determine the cellular behaviors of living organisms. Controlling the cellular behaviors by regulating certain biomolecules in the network is one of the most concerned problems in systems biology. Recently, the connections between biological networks and structural control theory have been explored, uncovering some interesting biological phenomena. Some researchers have paid attentions to the structural controllability of networks in notion of the minimum steering sets (MSSs). However, because the MSSs for complex networks are not unique and the importance of different MSSs is diverse in real applications, MSSs with certain meanings should be studied. In this paper, we investigated the MSSs of biomolecular networks by considering the drug binding information. The biomolecules in the MSSs with binding preference are enriched with known drug targets and are likely to have more chemical-binding opportunities with existing drugs compared with randomly chosen MSSs, suggesting novel applications for drug target identification and drug repositioning.",no keywords,Ieee Transactions On Nanobioscience,complex network ubiquit natur biolog system biomolecul interact form biomolecular network determin cellular behavior live organ control cellular behavior regul certain biomolecul network one concern problem system biolog recent connect biolog network structur control theori explor uncov interest biolog phenomenon research paid attent structur control network notion minimum steer set msss howev msss complex network uniqu import differ msss diver real applic msss certain mean studi paper investig msss biomolecular network consid drug bind inform biomolecul msss bind prefer enrich known drug target like opportun exist drug compar randomli chosen msss suggest novel applic drug target identif drug reposit biomolecular network control drug bind inform
501,Optimization of cationic (Q)-paper for detection of arboviruses in infected mosquitoes.,"Previously (Glushakova et al. 2017), a cellulose-based cationic (Q) paper derivatized with quaternary ammonium groups was shown to be a convenient platform to collect, preserve, and store nucleic acids (NAs) derived from mosquito vectors infected with pathogens for surveillance. NAs bind electrostatically to Q-paper, but the quantity of NA bound depends on the paper's binding capacity. To optimize the original technology for mosquito surveillance, factors that affected NA absorbance on Q-paper were evaluated. Sixteen variations of Q-paper were prepared with modifications of the derivatizing reagents and derivatization temperature. The binding capacities of these variations were determined first with 1,3,5-benzenetricarboxylic (BTCA), then viral RNA (purified or in infected mosquito samples) was used for validation. For this, samples with Zika (ZIKV) and chikungunya (CHIKV) RNA or virus-infected Aedes aegypti mosquito bodies were applied to sixteen Q-paper variants. Washing the paper samples with water versus elution with aqueous salt (1 M) gave samples that were analyzed for viral RNA by a PCR-based direct Luminex hybridization assay. The comparison ranked the Q-paper binding capacities from the lowest to the highest. The Q-paper with the highest RNA binding capability was further validated with ZIKV- and CHIKV-infected mosquito saliva.","arboviruses, cationic (q) paper, mosquito",Journal Of Virological Methods,previous glushakova et al cation q paper derivat quaternari ammonium group shown conveni platform collect preserv store nucleic acid na deriv mosquito vector infect pathogen surveil na bind electrostat quantiti na bound depend paper bind capac optim origin technolog mosquito surveil factor affect na absorb evalu sixteen variat prepar modif derivat reagent derivat temperatur bind capac variat determin first btca viral rna purifi infect mosquito sampl use valid sampl zika zikv chikungunya chikv rna aed aegypti mosquito bodi appli sixteen variant wash paper sampl water versu elut aqueou salt gave sampl analyz viral rna direct luminex hybrid assay comparison rank bind capac lowest highest highest rna bind capabl valid mosquito saliva optim cation q detect arbovirus infect mosquito
502,Emulsion-Based Multicompartment Vaginal Drug Carriers: From Nanoemulsions to Nanoemulgels.,"In order to overcome the limitations associated with vaginal administration of drugs, e.g., the short contact time of the drug form with the mucosa or continuous carrier wash-out, the development of new carriers for gynecological use is necessary. Furthermore, high individual anatomical and physiological variability resulting in unsatisfactory therapeutic efficacy of lipophilic active substances requires application of multicompartment drug delivery systems. This manuscript provides an up-to-date comprehensive review of the literature on emulsion-based vaginal dosage forms (EVDF) including macroemulsions, microemulsions, nanoemulsions, multiple emulsions and self-emulsifying drug delivery systems. The first part of the paper discusses (i) the influence of anatomical-physiological conditions on therapeutic efficacy of drug forms after local and systemic administration, (ii) characterization of EVDF components and the manufacturing techniques of these dosage forms and (iii) methods used to evaluate the physicochemical and pharmaceutical properties of emulsion-based vaginal dosage forms. The second part of the paper presents (iv) the results of biological and in vivo studies as well as (v) clinical evaluation of EVDF safety and therapeutic efficacy across different indications.","drug carriers for gynecology, emulsion-based dosage forms, vaginal administration, vaginal drug delivery, vaginal formulations",International Journal Of Molecular Sciences,order overcom limit associ vagin administr drug short contact time drug form mucosa continu carrier develop new carrier gynecolog use necessari furthermor high individu anatom physiolog variabl result unsatisfactori therapeut efficaci lipophil activ substanc requir applic multicompart drug deliveri system manuscript provid comprehens review literatur vagin dosag form evdf includ macroemuls microemuls nanoemuls multipl emuls drug deliveri system first part paper discus influenc condit therapeut efficaci drug form local system administr ii character evdf compon manufactur techniqu dosag form iii method use evalu physicochem pharmaceut properti vagin dosag form second part paper present iv result biolog vivo studi well v clinic evalu evdf safeti therapeut efficaci across differ indic multicompart vagin drug carrier nanoemuls nanoemulgel
503,A primer for best practices in tissue preparation for bioanalysis.,"Analysis of drugs, biomarkers and their metabolites in tissue samples has always been an important aspect of the drug-development process. In the last decade, significant improvements in equipment and processes have made handling such samples far more efficient, with higher precision, accuracy and ruggedness. The purpose of this paper is to provide a primer for best practices of tissue analysis, including brief but specific tutorials on basic principles and laboratory operation. Included will be a discussion of what to consider when designing a study, tools available to make appropriate pre-study decisions, approaches for tissue acquisition and extraction, sample processing methods, and tips on creation of standards and QCs. We will offer some practical advice to help scientists who have good analytical skills, but are not experienced in tissue analysis to quickly start their own analyses with the minimum amount of time, labor and cost.",no keywords,Bioanalysis,analysi drug biomark metabolit tissu sampl alway import aspect process last decad signific improv equip process made handl sampl far effici higher precis accuraci rugged purpos paper provid primer best practic tissu analysi includ brief specif tutori basic principl laboratori oper includ discus consid design studi tool avail make appropri decis approach tissu acquisit extract sampl process method tip creation standard qc offer practic advic help scientist good analyt skill experienc tissu analysi quickli start analys minimum amount time labor cost primer best practic tissu prepar bioanalysi
504,Screening of angiotensin converting enzyme inhibitors from natural products via origami microﬂuidic paper-based analytical devices with colorimetric detection.,"We report the screening of angiotensin converting enzyme (ACE) inhibitors on an origami microﬂuidic paper-based analytical device (μPAD) using colorimetric detection. The hydrolysis product reacts with ninhydrin, resulting in a purple color at the detection zones. Images of the μPADs are captured using a common cell phone and analyzed with Photoshop software. This platform allows six independent colorimetric reactions to take place simultaneously, and the IC<sub>50</sub> values can be obtained in a single run within 22 min. The relative standard deviations of inhibition efficiencies are generally lower than 4.0 % (n = 5). The IC<sub>50</sub> values of captopril and five products from natural plants were obtained and corresponded well with UV methods. The relative deviations between the two methods are within the range of -5 % to +5 %. This work is a proof-of-concept successfully demonstrating the use of μPADs technology to screen enzyme inhibitors from natural products.","angiotensin converting enzyme, colorimetric detection, hypertension, microfluidic paper-based analytical devices (μpads), natural products",Journal Of Pharmaceutical And Biomedical Analysis,report screen angiotensin convert enzym ace inhibitor origami microﬂuid analyt devic μpad use colorimetr detect hydrolysi product react ninhydrin result purpl color detect zone imag μpad captur use common cell phone analyz photoshop softwar platform allow six independ colorimetr reaction take place simultan ic sub valu obtain singl run within min rel standard deviat inhibit effici gener lower n ic sub valu captopril five product natur plant obtain correspond well uv method rel deviat two method within rang work success demonstr use μpad technolog screen enzym inhibitor natur product screen angiotensin convert enzym inhibitor natur product via origami microﬂuid analyt devic colorimetr detect
505,Molecular probes for super-resolution imaging of drug dynamics.,"Super-resolution molecular probes (SRMPs) are essential tools for visualizing drug dynamics within cells, transcending the resolution limits of conventional microscopy. In this review, we provide an overview of the principles and design strategies of SRMPs, emphasizing their role in accurately tracking drug molecules. By illuminating the intricate processes of drug distribution, diffusion, uptake, and metabolism at a subcellular and molecular level, SRMPs offer crucial insights into therapeutic interventions. Additionally, we explore the practical applications of super-resolution imaging in disease treatment, highlighting the significance of SRMPs in advancing our understanding of drug action. Finally, we discuss future perspectives, envisioning potential advancements and innovations in this field. Overall, this review serves to inform and practitioners about the utility of SRMPs in driving innovation and progress in pharmacology, providing valuable insights for drug development and optimization.","diseases treatment, drug dynamics, molecular probes, super-resolution imaging",Advanced Drug Delivery Reviews,molecular probe srmp essenti tool visual drug dynam within cell transcend resolut limit convent microscopi review provid overview principl design strategi srmp emphas role accur track drug molecul illumin intric process drug distribut diffus uptak metabol subcellular molecular level srmp offer crucial insight therapeut intervent addit explor practic applic imag diseas treatment highlight signific srmp advanc understand drug action final discus futur perspect envis potenti advanc innov field overal review serv inform practition util srmp drive innov progress pharmacolog provid valuabl insight drug develop optim molecular probe imag drug dynam
506,Nomenclature for drugs in targeted therapies.,"A proposal for denoting the new drugs used in targeted therapy of cancer is submitted. This would simplify both the writing of regimen acronyms in scientific papers, and be more informative than the current system.",no keywords,Medical Hypotheses,propos denot new drug use target therapi cancer submit would simplifi write regimen acronym scientif paper inform current system nomenclatur drug target therapi
507,[Alternatives for adopting policies centered on access to medicines].,"Latin America is adopting regulations that bear on medicinal costs and spending. The regulations have four main goals: i) to guarantee a competitive market, ii) to ensure affordability for individual consumers (commercial channel), iii) to contain public spending on medicines (institutional channel), and iv) to guarantee efficient spending on medicines. The experience of Latin America differs from that of countries in developed regions. In the latter, the countries tend to have similar policies, both in promoting generic medicines and in price control strategies, and in optimizing and containing pharmaceutical expense. In contrast, in Latin America, certain institutional weaknesses impede the consolidation and application of an effective regulatory policy. This paper reviews the experience gained through the adoption of economic regulations aimed at reducing spending and improving access to medicines, suggests lessons learned at the international level, and offers recommendations for the countries of Latin America. Its purpose is to offer key elements to decision-makers and the authorities of the countries concerned in pursuing economic regulation of medicines.",no keywords,Revista Panamericana De Salud Publica = Pan American Journal Of Public Health,latin america adopt regul bear medicin cost spend regul four main goal guarante competit market ii ensur afford individu consum commerci channel iii contain public spend medicin institut channel iv guarante effici spend medicin experi latin america differ countri develop region latter countri tend similar polici promot gener medicin price control strategi optim contain pharmaceut expens contrast latin america certain institut weak imped consolid applic effect regulatori polici paper review experi gain adopt econom regul aim reduc spend improv access medicin suggest lesson learn intern level offer recommend countri latin america purpos offer key element author countri concern pursu econom regul medicin altern adopt polici center access medicin
508,Approaches to erythrocyte-mediated drug delivery.,Drug delivery by means of erythrocytes is becoming a growing field with applications that in recent years have moved from the laboratory to the clinic. Several reviews have been published in recent years and have well illustrated the developments and the different fields of application. In this paper we have summarized the techniques that make the bases for these developments and provided illustrative examples on how the erythrocytes can be used in drug delivery.,no keywords,Expert Opinion On Drug Delivery,drug deliveri mean erythrocyt becom grow field applic recent year move laboratori clinic sever review publish recent year well illustr develop differ field applic paper summar techniqu make base develop provid illustr exampl erythrocyt use drug deliveri approach drug deliveri
509,Evaluation of flash supercritical fluid chromatography and alternate sample loading techniques for pharmaceutical medicinal chemistry purifications.,"Flash chromatography is the preferred approach for small molecule purification in pharmaceutical discovery. This paper will discuss the potential for flash supercritical fluid chromatography (SFC) as an alternative technology for these purifications. It was shown that the high sample loadings seen with flash LC could also be achieved using flash SFC. The dry load injection technique greatly increases the amount of sample that can be applied to a flash SFC column while still achieving separation. Flash SFC has much lower solvent usage and higher purification productivities relative to flash LC. Product concentrations post purification were higher for flash SFC vs. flash LC, reducing the time required to isolate dry product. There still exist a number of technical details to be worked out with flash SFC, mainly around the equipment and column/cartridge technology.",no keywords,Journal Of Chromatography. A,flash chromatographi prefer approach small molecul purif pharmaceut discoveri paper discus potenti flash supercrit fluid chromatographi sfc altern technolog purif shown high sampl load seen flash lc could also achiev use flash sfc dri load inject techniqu greatli increas amount sampl appli flash sfc column still achiev separ flash sfc much lower solvent usag higher purif product rel flash lc product concentr post purif higher flash sfc flash lc reduc time requir isol dri product still exist number technic detail work flash sfc mainli around equip technolog evalu flash supercrit fluid chromatographi altern sampl load techniqu pharmaceut medicin chemistri purif
510,Evaluation of a polysaccharide-based chiral reversed-phase liquid chromatography screen strategy in pharmaceutical analysis.,"Chirality control plays a critical role in developing stereoisomeric drugs. Due to the complexity and lack of predictability in chiral separations, column screening remains the gold standard to initiate chiral method development for active pharmaceutical ingredients (APIs) and synthetic intermediates. Chiral reversed-phase (RP) liquid chromatography (LC) has gained favor over other modes due to its versatility and compatibility in analyzing a wide range of chiral compounds in various matrices. Herein, we established a tier-based chiral RPLC screen strategy by constructing and analyzing a database of 101 chiral screens with a total of 3,401 entries (unique LC runs) for proprietary APIs or intermediates at Bristol Myers Squibb. Up to 17 polysaccharide-based chiral stationary phases (CSPs) and four mobile phases (MPs) have been screened with gradient elution. A selection of ten CSPs with two MPs was found sufficient to achieve successful separation for 82% of the total screens. Two RPLC screen tiers (Tier 1: AZ, OD, ID, and IG) and (Tier 2: AY, OJ, OZ, IA, IC, and IH) were proposed along with two MPs (acidic and neutral) to target ~70% hit rate for Tier 1, and ~80% for the combined set. We also implemented a user-friendly workflow to enable walk-up chiral RPLC screening with automated reports and system suitability tests.","automated screen workflow, chiral reversed-phase screen, pharmaceutical chiral separation, polysaccharide-based chiral stationary phases",Journal Of Chromatography. A,chiral control play critic role develop stereoisomer drug due complex lack predict chiral separ column screen remain gold standard initi chiral method develop activ pharmaceut ingredi api synthet intermedi chiral rp liquid chromatographi lc gain favor mode due versatil compat analyz wide rang chiral compound variou matric herein establish chiral rplc screen strategi construct analyz databas chiral screen total entri uniqu lc run proprietari api intermedi bristol myer squibb chiral stationari phase csp four mobil phase mp screen gradient elut select ten csp two mp found suffici achiev success separ total screen two rplc screen tier tier az od id ig tier ay oj oz ia ic ih propos along two mp acid neutral target hit rate tier combin set also implement workflow enabl chiral rplc screen autom report system suitabl test evalu chiral liquid chromatographi screen strategi pharmaceut analysi
511,Long-acting transdermal drug delivery formulations: Current developments and innovative pharmaceutical approaches.,"Transdermal administration remains an active research and development area as an alternative route for long-acting drug delivery. It avoids major drawbacks of conventional oral (gastrointestinal side effects, low drug bioavailability, and need for multiple dosing) or parenteral routes (invasiveness, pain, and psychological stress and bio-hazardous waste generated from needles), thereby increasing patient appeal and compliance. This review focuses on the current state of long-acting transdermal drug delivery, including adhesive patches, microneedles, and molecularly imprinted polymeric systems. Each subsection describes an approach including key considerations in formulation development, design, and process parameters with schematics. An overview of commercially available conventional (adhesive) patches for long-acting drug delivery (longer than 24 h), the reservoir- and matrix-type systems under preclinical evaluation, as well as the advanced transdermal formulations, such as the core-shell, nanoformulations-incorporated and stimuli-responsive microneedles, and 3D-printed and molecularly imprinted polymers that are in development, is also provided. Finally, we elaborated on translational aspects, challenges in patch formulation development, and future directions for the clinical advancement of new long-acting transdermal products.","adhesive patch, clinical translational, controlled release, extended-release, formulation development challenges, long-acting, matrix and reservoir patches, microneedles",Advanced Drug Delivery Reviews,transderm administr remain activ research develop area altern rout drug deliveri avoid major drawback convent oral gastrointestin side effect low drug bioavail need multipl dose parenter rout invas pain psycholog stress wast gener needl therebi increas patient appeal complianc review focus current state transderm drug deliveri includ adhes patch microneedl molecularli imprint polymer system subsect describ approach includ key consider formul develop design process paramet schemat overview commerci avail convent adhes patch drug deliveri longer h system preclin evalu well advanc transderm formul microneedl molecularli imprint polym develop also provid final elabor translat aspect challeng patch formul develop futur direct clinic advanc new transderm product transderm drug deliveri formul current develop innov pharmaceut approach
512,A novel robust hydrogel-assisted paper-based sensor based on fluorescence UiO-66-NH<sub>2</sub>@ZIF-8 for the dual-channel detection of captopril.,"Captopril (CP) is commonly used as an active enzyme inhibitor for the treatment of coronary heart disease, hypertension and angina pectoris. The development of sensitive and efficient method for CP analysis is of great importance in biomedical research. Herein, we fabricated a sensitive and robust hydrogel-assisted paper-based sensor based on fluorescence UiO-66-NH<sub>2</sub>@ZIF-8 and Co, N-doped carbon nanozymes with oxidase-mimicking activity for accurate monitoring of captopril. The hydrogel-assisted paper-based sensor appeared a visible pink signal due to the catalytic oxidation of colorless N,N-diethyl-p-phenylenediamine (DPD) to oxDPD by Co, N-doped carbon-based nanozymes, and resulted in the fluorescence quenching of UiO-66-NH<sub>2</sub>@ZIF-8. In the presence of captopril, the oxidation of chromogenic substrate DPD by Co, N-doped nanozymes in the hydrogel-assisted paper-based sensor was hindered and accompanied by a change in the visible color, leading to recovery of the fluorescence of UiO-66-NH<sub>2</sub>@ZIF-8, and the change in the fluorescence color could also be observed. Therefore, the quantitative detection of captopril is achieved by taking a smartphone photograph and converting the image parameters into data information using ImageJ software. The portable hydrogel-assisted paper sensor provided sensitive detection of captopril in two modes based on visible color change as well as fluorescence color change with limits of detection of 0.45 μM and 0.47 μM, respectively. This hydrogel-assisted paper-based sensor has been successfully applied to the accurate monitoring of captopril in human serum, providing a potential avenue for in situ detection of captopril.","captopril, co, hydrogel-assisted paper-based sensor, n-doped nanozymes, uio-66-nh(2)@zif-8",Talanta,captopril cp commonli use activ enzym inhibitor treatment coronari heart diseas hypertens angina pectori develop sensit effici method cp analysi great import biomed research herein fabric sensit robust sensor base fluoresc sub co carbon nanozym activ accur monitor captopril sensor appear visibl pink signal due catalyt oxid colorless n dpd oxdpd co nanozym result fluoresc quench sub presenc captopril oxid chromogen substrat dpd co nanozym sensor hinder accompani chang visibl color lead recoveri fluoresc sub chang fluoresc color could also observ therefor quantit detect captopril achiev take smartphon photograph convert imag paramet data inform use imagej softwar portabl paper sensor provid sensit detect captopril two mode base visibl color chang well fluoresc color chang limit detect μm μm respect sensor success appli accur monitor captopril human serum provid potenti avenu situ detect captopril novel robust sensor base fluoresc sub detect captopril
513,Sulfobutylether-β-cyclodextrin.,"This review presents the early history, the motivation, the research and some of the backstories behind the discovery and development of sulfobutylether-β-cyclodextrin as a novel parenterally safe solubilizer and stabilizer. A specific sulfobutylether-β-cyclodextrin with an average degree of 6.5 sulfobutyl-groups variably substituted on the 2-, 3- and 6-hydroxyls of the seven glucopyranose (dextrose) units of β-cyclodextrin, is known by its commercial name, Captisol®. Today it is in 13 FDA approved injectables and numerous clinical candidates. It is also an example of a novel product discovered and initially preclinically developed at an academic institution.","captisol, cyclodextrin, formulation, safety, solubility, stability, synthesis",International Journal Of Pharmaceutics,review present earli histori motiv research backstori behind discoveri develop novel parenter safe solubil stabil specif averag degre variabl substitut seven glucopyranos dextros unit known commerci name today fda approv inject numer clinic candid also exampl novel product discov initi preclin develop academ institut 
514,Bioanalysis of pharmaceuticals using liquid-phase microextraction combined with liquid chromatography-mass spectrometry.,"In this paper, we review recent research articles on liquid-phase microextraction of drug substances from biological fluids, such as plasma, serum, urine, and saliva. We focus on papers where liquid-phase microextraction is combined with liquid chromatography coupled with mass spectrometry (LC-MS), published in the period 2019-2020. First, we discuss different configurations of liquid-phase microextraction, including dispersive liquid-liquid microextraction (DLLME), dispersive liquid-liquid microextraction based on solidified floating organic droplet (DLLME-SFO), single-drop microextraction (SDME), hollow-fibre liquid-phase microextraction (HF-LPME), solvent bar microextraction (SBME), and electromembrane extraction (EME). Second, we discuss new types of solvents used in liquid-phase microextraction, including ionic liquids, deep eutectic solvents, and nanostructured supramolecular solvents. Especially, we focus on the potential for implementation in routine laboratories, which we consider as the next step for liquid-phase microextraction.","bioanalysis, biological fluids, drug substances, liquid-phase microextraction, sample preparation",Journal Of Pharmaceutical And Biomedical Analysis,paper review recent research articl microextract drug substanc biolog fluid plasma serum urin saliva focu paper microextract combin liquid chromatographi coupl mass spectrometri publish period first discus differ configur microextract includ dispers microextract dllme dispers microextract base solidifi float organ droplet microextract sdme microextract solvent bar microextract sbme electromembran extract eme second discus new type solvent use microextract includ ionic liquid deep eutect solvent nanostructur supramolecular solvent especi focu potenti implement routin laboratori consid next step microextract bioanalysi pharmaceut use microextract combin liquid spectrometri
515,What Can Electrochemical Methods Offer in Determining DNA-Drug Interactions?,"The interactions of compounds with DNA have been studied since the recognition of the role of nucleic acid in organisms. The design of molecules which specifically interact with DNA sequences allows for the control of the gene expression. Determining the type and strength of such interaction is an indispensable element of pharmaceutical studies. Cognition of the therapeutic action mechanisms is particularly important for designing new drugs. Owing to their sensitivity, simplicity, and low costs, electrochemical methods are increasingly used for this type of research. Compared to other techniques, they require a small number of samples and are characterized by a high reliability. These methods can provide information about the type of interaction and the binding strength, as well as the damage caused by biologically active molecules targeting the cellular DNA. This review paper summarizes the various electrochemical approaches used for the study of the interactions between pharmaceuticals and DNA. The main focus is on the papers from the last decade, with particular attention on the voltammetric techniques. The most preferred experimental approaches, the electrode materials and the new methods of modification are presented. The data on the detection ranges, the binding modes and the binding constant values of pharmaceuticals are summarized. Both the importance of the presented research and the importance of future prospects are discussed.","dna–drug interactions, cyclic voltammetry, differential pulse voltammetry, drug analysis, electrochemical methods","Molecules (Basel, Switzerland)",interact compound dna studi sinc recognit role nucleic acid organ design molecul specif interact dna sequenc allow control gene express determin type strength interact indispens element pharmaceut studi cognit therapeut action mechan particularli import design new drug owe sensit simplic low cost electrochem method increasingli use type research compar techniqu requir small number sampl character high reliabl method provid inform type interact bind strength well damag caus biolog activ molecul target cellular dna review paper summar variou electrochem approach use studi interact pharmaceut dna main focu paper last decad particular attent voltammetr techniqu prefer experiment approach electrod materi new method modif present data detect rang bind mode bind constant valu pharmaceut summar import present research import futur prospect discus electrochem method offer determin interact
516,Deep Convolutional Neural Networks for the Prediction of Molecular Properties: Challenges and Opportunities Connected to the Data.,"We present a flexible deep convolutional neural network method for the analysis of arbitrary sized graph structures representing molecules. This method, which makes use of the Lipinski RDKit module, an open-source cheminformatics software, enables the incorporation of any global molecular (such as molecular charge and molecular weight) and local (such as atom hybridization and bond orders) information. In this paper, we show that this method significantly outperforms another recently proposed method based on deep convolutional neural networks on several datasets that are studied. Several best practices for training deep convolutional neural networks on chemical datasets are also highlighted within the article, such as how to select the information to be included in the model, how to prevent overfitting and how unbalanced classes in the data can be handled.","deep learning, molecular property prediction, side effects prediction, unbalanced data",Journal Of Integrative Bioinformatics,present flexibl deep convolut neural network method analysi arbitrari size graph structur repres molecul method make use lipinski rdkit modul cheminformat softwar enabl incorpor global molecular molecular charg molecular weight local atom hybrid bond order inform paper show method significantli outperform anoth recent propos method base deep convolut neural network sever dataset studi sever best practic train deep convolut neural network chemic dataset also highlight within articl select inform includ model prevent overfit unbalanc class data handl deep convolut neural network predict molecular properti challeng opportun connect data
517,Bioanalytical outsourcing strategy at Janssen Research and Development.,"The times when all bioanalytical work was supported in-house are long behind us. In the modern bioanalytical laboratory, workload is divided between in-house support and outsourcing to contract research organizations. This paper outlines the outsourcing strategy of the Janssen-regulated bioanalytical group. Keeping the knowledge of the assay and the compound internally is a cornerstone of this strategy and is a driver for balancing the workload between the internal laboratory and contract laboratories. The number of contract laboratories that are being used is limited and criteria for selecting laboratories are discussed. Special attention is paid to the experience with outsourcing clinical studies to China.",no keywords,Bioanalysis,time bioanalyt work support long behind u modern bioanalyt laboratori workload divid support outsourc contract research organ paper outlin outsourc strategi bioanalyt group keep knowledg assay compound intern cornerston strategi driver balanc workload intern laboratori contract laboratori number contract laboratori use limit criterion select laboratori discus special attent paid experi outsourc clinic studi china bioanalyt outsourc strategi janssen research develop
