Title,Authors,Abstract,Publication Date,Journal,Keywords,MeSH Terms,DOI,Author Affiliations
Evaluation of injection conditions for preparative supercritical fluid chromatography.,"Larry Miller, Ian Sebastian","Preparative supercritical fluid chromatography (SFC) has become the preferred method for the rapid purification of drug candidates during the pharmaceutical discovery process. This paper will discuss the evaluation of injection techniques for preparative SFC. A thorough evaluation of mixed stream vs. modifier stream™ injection was performed. It was shown that for the majority of the compounds evaluated, modifier stream injection gave better resolution relative to mixed stream injection. The improvement in resolution with modifier stream injection increased as injection volume increased. In addition, a study evaluating the effect of dissolution solvent on chromatographic performance for the preparative resolution of enantiomers using SFC showed that dissolution solvent had minimal impact on preparative resolution for the preparative SFC separation of trans stilbene oxide.",2012,Journal of chromatography. A,No keywords,"Chromatography, Supercritical Fluid, Models, Chemical, Pharmaceutical Preparations, Stereoisomerism, Stilbenes",10.1016/j.chroma.2012.05.101,"Amgen, 360 Binney Street, Cambridge, MA 02142, USA. millerl@amgen.com"
Greedy and Linear Ensembles of Machine Learning Methods Outperform Single Approaches for QSPR Regression Problems.,"William Kew, John B O Mitchell","The application of Machine Learning to cheminformatics is a large and active field of research, but there exist few papers which discuss whether ensembles of different Machine Learning methods can improve upon the performance of their component methodologies. Here we investigated a variety of methods, including kernel-based, tree, linear, neural networks, and both greedy and linear ensemble methods. These were all tested against a standardised methodology for regression with data relevant to the pharmaceutical development process. This investigation focused on QSPR problems within drug-like chemical space. We aimed to investigate which methods perform best, and how the 'wisdom of crowds' principle can be applied to ensemble predictors. It was found that no single method performs best for all problems, but that a dynamic, well-structured ensemble predictor would perform very well across the board, usually providing an improvement in performance over the best single method. Its use of weighting factors allows the greedy ensemble to acquire a bigger contribution from the better performing models, and this helps the greedy ensemble generally to outperform the simpler linear ensemble. Choice of data preprocessing methodology was found to be crucial to performance of each method too.",2015,Molecular informatics,"Greedy ensembles, Linear ensembles, Machine Learning, Quantitative structure-property relationships","Electronic Data Processing, Machine Learning, Pharmaceutical Preparations",10.1002/minf.201400122,"Biomedical Sciences Research Complex and EaStCHEM School of Chemistry, Purdie Building, University of St Andrews, North Haugh, St Andrews, Scotland, KY16 9ST, UK., Biomedical Sciences Research Complex and EaStCHEM School of Chemistry, Purdie Building, University of St Andrews, North Haugh, St Andrews, Scotland, KY16 9ST, UK. jbom@st-andrews.ac.uk, w.kew@sms.ed.ac.uk."
Flux-Based Formulation Development-A Proof of Concept Study.,"Szabina Kádár, Petra Tőzsér, Brigitta Nagy, Attila Farkas, Zsombor K Nagy, Oksana Tsinman, Konstantin Tsinman, Dóra Csicsák, Gergely Völgyi, Krisztina Takács-Novák, Enikő Borbás, Bálint Sinkó","The work aimed to develop the Absorption Driven Drug Formulation (ADDF) concept, which is a new approach in formulation development to ensure that the drug product meets the expected absorption rate. The concept is built on the solubility-permeability interplay and the rate of supersaturation as the driving force of absorption. This paper presents the first case study using the ADDF concept where not only dissolution and solubility but also permeation of the drug is considered in every step of the formulation development. For that reason, parallel artificial membrane permeability assay (PAMPA) was used for excipient selection, small volume dissolution-permeation apparatus was used for testing amorphous solid dispersions (ASDs), and large volume dissolution-permeation tests were carried out to characterize the final dosage forms. The API-excipient interaction studies on PAMPA indicated differences when different fillers or surfactants were studied. These differences were then confirmed with small volume dissolution-permeation assays where the addition of Tween 80 to the ASDs decreased the flux dramatically. Also, the early indication of sorbitol's advantage over mannitol by PAMPA has been confirmed in the investigation of the final dosage forms by large-scale dissolution-permeation tests. This difference between the fillers was observed in vivo as well. The presented case study demonstrated that the ADDF concept opens a new perspective in generic formulation development using fast and cost-effective flux-based screening methods in order to meet the bioequivalence criteria. Graphical Abstract.",2022,The AAPS journal,"absorption, dissolution-permeation, formulation additives, in vivo predictive, telmisartan","Drug Compounding, Drug Development, Drug Liberation, Drugs, Generic, Excipients, Humans, Membranes, Artificial, Permeability, Pharmaceutical Preparations, Proof of Concept Study, Solubility, Surface-Active Agents, Therapeutic Equivalency",22,"Budapest University of Technology and Economics, 3 Műegyetem rkp, Budapest, 1111, Hungary., Budapest University of Technology and Economics, 3 Műegyetem rkp, Budapest, 1111, Hungary., Budapest University of Technology and Economics, 3 Műegyetem rkp, Budapest, 1111, Hungary., Budapest University of Technology and Economics, 3 Műegyetem rkp, Budapest, 1111, Hungary., Budapest University of Technology and Economics, 3 Műegyetem rkp, Budapest, 1111, Hungary., Pion Inc., 10 Cook Street, Billerica, Massachusetts, 01821, USA., Pion Inc., 10 Cook Street, Billerica, Massachusetts, 01821, USA., Semmelweis University, 9 Hőgyes Endre Street, Budapest, 1092, Hungary., Semmelweis University, 9 Hőgyes Endre Street, Budapest, 1092, Hungary., Semmelweis University, 9 Hőgyes Endre Street, Budapest, 1092, Hungary., Budapest University of Technology and Economics, 3 Műegyetem rkp, Budapest, 1111, Hungary. eniko.jaksaneborbas@edu.bme.hu., Pion Inc., 10 Cook Street, Billerica, Massachusetts, 01821, USA. bsinko@pion-inc.com."
Pharmaceutical cocrystals: an overview.,"Ning Qiao, Mingzhong Li, Walkiria Schlindwein, Nazneen Malek, Angela Davies, Gary Trappitt","Pharmaceutical cocrystals are emerging as a new class of solid drugs with improved physicochemical properties, which has attracted increased interests from both industrial and academic researchers. In this paper a brief and systematic overview of pharmaceutical cocrystals is provided, with particular focus on cocrystal design strategies, formation methods, physicochemical property studies, characterisation techniques, and recent theoretical developments in cocrystal screening and mechanisms of cocrystal formations. Examples of pharmaceutical cocrystals are also summarised in this paper.",2011,International journal of pharmaceutics,No keywords,"Crystallization, Drug Design, Molecular Structure, Pharmaceutical Preparations, Solubility",10.1016/j.ijpharm.2011.07.037,"School of Pharmacy, De Montfort University, Leicester, LE1 9BH, UK."
Techniques for efficient entrapment of pharmaceuticals in biodegradable solid micro/nanoparticles.,"Tsutomu Ishihara, Tohru Mizushima","Biodegradable solid particles are potential carriers for both hydrophobic and hydrophilic drugs and have been marketed for prolongation of pharmaceutical activity. In developing such particles, it is important to achieve stable encapsulation of the drugs in the particles and a controlled rate of drug release.",No date available,Expert opinion on drug delivery,No keywords,"Biocompatible Materials, Delayed-Action Preparations, Drug Carriers, Humans, Nanoparticles, Pharmaceutical Preparations",10.1517/17425241003713486,"Kumamoto University, Graduate School of Medical and Pharmaceutical Sciences, Oe-honmachi, Kumamoto, Japan. tishihar@kumamoto-u.ac.jp"
Dual-acting of Hybrid Compounds - A New Dawn in the Discovery of Multi-target Drugs: Lead Generation Approaches.,"Azizeh Abdolmaleki, Jahan B Ghasemi","Finding high quality beginning compounds is a critical job at the start of the lead generation stage for multi-target drug discovery (MTDD). Designing hybrid compounds as selective multitarget chemical entity is a challenge, opportunity, and new idea to better act against specific multiple targets. One hybrid molecule is formed by two (or more) pharmacophore group's participation. So, these new compounds often exhibit two or more activities going about as multi-target drugs (mtdrugs) and may have superior safety or efficacy. Application of integrating a range of information and sophisticated new in silico, bioinformatics, structural biology, pharmacogenomics methods may be useful to discover/design, and synthesis of the new hybrid molecules. In this regard, many rational and screening approaches have followed by medicinal chemists for the lead generation in MTDD. Here, we review some popular lead generation approaches that have been used for designing multiple ligands (DMLs). This paper focuses on dual- acting chemical entities that incorporate a part of two drugs or bioactive compounds to compose hybrid molecules. Also, it presents some of key concepts and limitations/strengths of lead generation methods by comparing combination framework method with screening approaches. Besides, a number of examples to represent applications of hybrid molecules in the drug discovery are included.",No date available,Current topics in medicinal chemistry,"Combination Framework, Designing multiple ligand, Drug discovery, Hybrid molecules, Medicinal chemistry, Multi-target, Pharmacophore","Drug Discovery, Humans, Ligands, Molecular Structure, Pharmaceutical Preparations",10.2174/1568026616666160927151144,"Department of Chemistry, Faculty of Sciences, Tuyserkan Branch, Islamic Azad University, Tuyserkan,. Iran., Drug Design in Silico Lab., Chemistry Faculty, University of Tehran, Tehran,. Iran."
Interactions between active pharmaceutical ingredients and excipients affecting bioavailability: impact on bioequivalence.,Alfredo García-Arieta,"The aim of the present paper is to illustrate the impact that excipients may have on the bioavailability of drugs and to review existing US-FDA, WHO and EMA regulatory guidelines on this topic. The first examples illustrate that small amounts of sorbitol (7, 50 or 60mg) affect the bioavailability of risperidone, a class I drug, oral solution, in contrast to what is stated in the US-FDA guidance. Another example suggests, in contrast to what is stated in the US-FDA BCS biowaivers guideline, that a small amount of sodium lauryl sulphate (SLS) (3.64mg) affects the bioavailability of risperidone tablets, although the reference product also includes SLS in an amount within the normal range for that type of dosage form. These factors are considered sufficient to ensure that excipients do not affect bioavailability according to the WHO guideline. The alternative criterion, defined in the WHO guideline and used in the FIP BCS biowaivers monographs, that asserts that excipients present in generic products of the ICH countries do not affect bioavailability if used in normal amounts, is shown to be incorrect with an example of alendronate (a class III drug) tablets, where 4mg of SLS increases bioavailability more than 5-fold, although a generic product in the USA contains SLS. Finally, another example illustrates that a 2mg difference in SLS may affect bioavailability of a generic product of a class II drug, even if SLS is contained in the comparator product, and in all cases its amount was within the normal range. Therefore, waivers of in vivo bioequivalence studies (e.g., BCS biowaivers, waivers of certain dosage forms in solution at the time of administration and variations in the excipient composition) should be assessed more cautiously.",2014,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,"Bioavailability, Biowaivers, Drug–excipient interaction, Excipient, Regulatory requirements","Administration, Oral, Biological Availability, Biopharmaceutics, Excipients, Humans, Pharmaceutical Preparations, Tablets, Therapeutic Equivalency",10.1016/j.ejps.2014.09.004,"Head of Service on Pharmacokinetics and Generics, Division of Pharmacology and Clinical Evaluation, Department of Human Use Medicines, Spanish Agency for Medicines and Health Care Products, Madrid, Spain. Electronic address: agarciaa@aemps.es."
Investigation of the synergistic effect with amino acid-derived chiral ionic liquids as additives for enantiomeric separation in capillary electrophoresis.,"Jinjing Zhang, Yingxiang Du, Qi Zhang, Jiaquan Chen, Guangfu Xu, Tao Yu, Xiaoyi Hua","Recently, chiral ionic liquids (ILs) have drawn more and more attention in chiral separation by capillary electrophoresis (CE). In this paper, two chiral ILs based on amino acid derivatives, L-alanine and L-valine tert butyl ester bis (trifluoromethane) sulfonimide, were applied for the first time in CE to evaluate their potential synergistic effects with classical chiral selectors (β-cyclodextrin derivatives) for enantiomeric separation. As observed, improved separation of tested drug enantiomers was obtained with the presence of chiral ILs compared to the conventional β-cyclodextrin derivatives separation system. Parameters such as type and proportion of organic modifier, type and concentration of chiral ILs, concentration of chiral selector, buffer pH and applied voltage were systematically investigated with Me-β-CD/chiral ILs as model system to optimize the novel synergistic system, and the best results were obtained when 15 mM chiral ILs were introduced into the 30 mM sodium citrate/citric acid (20% organic modifier included) buffer solution containing 20 mM Me-β-CD at pH 5.0 with a 20 kV applied voltage for naproxen, pranoprofen and warfarin.",2013,Journal of chromatography. A,"Amino acid-derived ionic liquids, Capillary electrophoresis, Chiral ionic liquids, Chiral separations","Amino Acids, Buffers, Cyclodextrins, Electrophoresis, Capillary, Hydrogen-Ion Concentration, Ionic Liquids, Pharmaceutical Preparations, Stereoisomerism",10.1016/j.chroma.2013.09.064,"Department of Analytical Chemistry, China Pharmaceutical University, Nanjing 210009, China."
In silico ADME/Tox: the state of the art.,"Sean Ekins, John Rose","The field of computational (in silico) ADME/Tox (absorption, distribution, metabolism, excretion, and toxicity) is receiving increased attention due a better appreciation that these molecular properties should be considered earlier in the drug discovery process. This report briefly reviews selected papers presented at the 220th National Meeting of the American Chemical Society, Washington, DC, 20-24 August, 2000, and describes the types of ADME/Tox computational models presented, the results obtained, and relevant recent publications that coincide with the work reported.",No date available,Journal of molecular graphics & modelling,No keywords,"Biological Availability, Blood-Brain Barrier, Cell Membrane Permeability, Computer Simulation, Drug Carriers, Drug Design, Humans, Intestinal Mucosa, Models, Statistical, Pharmaceutical Preparations, Protein Binding, Quantitative Structure-Activity Relationship, Solubility",No DOI available,"Lilly Research Laboratories, Eli Lilly and Company, Lilly Corporate Center, Indianapolis, IN 46285-0730, USA. ekins_sean@lilly.com"
Contact allergy to moist toilet paper.,"A C de Groot, T J Baar, H Terpstra, J W Weyland",No abstract available,No date available,Contact dermatitis,No keywords,"Adult, Anal Canal, Dermatitis, Contact, Female, Hand Dermatoses, Humans, Male, Middle Aged, Paper, Perfume, Preservatives, Pharmaceutical, Thiazoles, Water",No DOI available,"Department of Dermatology, Carolus Hospital, Hertogenbosch, The Netherlands."
"Mix of new substances psychoactive, NPS, found in blotters sold in two Colombian cities.","Catrin Y Mendoza-Valencia, Diana Jazmín Mariño Gaviria, Nancy Patiño Reyes, Fabian Lopez-Vallejo, Álvaro Emilio Sarmiento Gutiérrez, Daniel Trespalacios Rodríguez","The new psychoactive substances (NPS) in Colombia are detected by national authorities, in blotters strip, in different circumstances and places: airports, music concerts, discos and parks. Blotters are marketed as LSD and cause several cases of intoxication and death in some consumers: due to acute intoxication or when mixed with other drugs and may have different effects on the central nervous system (CNS). This study was conducted to research into and identify the chemical composition of the drugs impregnated in the blotters sold in two Colombian cities. This research provides the analysis of 70 doses coming from forensic cases of the Colombian Attorney General's Office in Bogota and from the Laboratory of Narcotics of the Colombian National Institute of Legal Medicine and Forensic Sciences (North Headquarter) in Barranquilla. Mixtures of drugs, such as DOB, 25I-NBOMe, MDMA and 25I-NBOMe imine were found within the blotters through gas chromatography coupled to mass spectrometry (CGMS); these drugs are classified by international authorities as NPS belonging to the phenylethylamines group. The results clearly warn about a growing public health problem in the country.",2019,Forensic science international,"25I-NBOMe, Blotters, CNS, DOB, GC–MS, MDMA, NPS, Phenylethylamine","DOM 2,5-Dimethoxy-4-Methylamphetamine, Administration, Sublingual, Colombia, Designer Drugs, Dimethoxyphenylethylamine, Drug Contamination, Drug Trafficking, Humans, Illicit Drugs, N-Methyl-3,4-methylenedioxyamphetamine, Paper, Substance-Related Disorders",10.1016/j.forsciint.2019.109969,"Department of Toxicology, Faculty of Medicine, Universidad Nacional de Colombia, Colombia. Electronic address: cymendozav@unal.edu.co., Toxicology Laboratory Instituto Nacional de Medicina Legal y Ciencias Forenses Regional Bogotá. Calle 7 A # 12 A - 51 Bogotá, 110321, Colombia. Electronic address: dmarino@medicinalegal.gov.co., Department of Toxicology, Faculty of Medicine, Universidad Nacional de Colombia. Universidad Nacional de Colombia, Carrera 45 # 26 - 85 Edif. Uriel Gutiérrez, 111321 Bogotá, Colombia. Electronic address: npatinor@unal.edu.co., Department of Chemistry, Faculty of Sciences, Universidad Nacional de Colombia, Universidad Nacional de Colombia, Carrera 45 # 26 - 85 Edif. Uriel Gutiérrez, 111321 Bogotá, Colombia. Electronic address: fhlopezv@unal.edu.co., Forensic Sciences Regional Group of the Instituto Nacional de Medicina Legal y Ciencias Forenses (Regional Norte), Carrera 23 # 53 - 56 Barranquilla, 080012, Colombia. Electronic address: alvaro.sarmiento@medicinalegal.gov.co., Toxicology Laboratory, Instituto Nacional de Medicina Legal y Ciencias Forenses (Regional Norte). Carrera 23 # 53 - 56 Barranquilla, 080012, Colombia. Electronic address: daniel.trespalacios@medicinalegal.gov.co."
Understanding performance of 3D-printed sorbent in study of metabolic stability.,"Szymon Ulenberg, Paweł Georgiev, Mariusz Belka, Grzegorz Ślifirski, Martyna Wróbel, Andrzej Chodkowski, Marek Król, Franciszek Herold, Tomasz Bączek","Metabolic stability tests are one of the fundamental steps at the preclinical stages of new drug development. Microsomes, used as a typical enzymatic model of liver biotransformation, can be a challenging matrix for analytical scientists due to a high concentration of cellular proteins and membrane lipids. In the work, we propose a new procedure integrating biotransformation reaction with SPME-like protocol for sample clean-up. It is beneficial to increase the overall quality of results in contrary to the typical protein precipitation approach. A set of ten arylpiperazine analogs, six of which are considered promising drug candidates (and four are accepted drugs) were used as a probe to assess the goodness of the newly proposed approach. In order to promote an efficient extraction protocol, a new, miniaturized shape of a sorbent, suitable to perform the extraction in 100 µL of the sample has been designed. Termination of the biotransformation process by protein denaturation with hot water was additionally evaluated. A quantitative structure-property relationship (QSPR) study using Orthogonal Partial Least Squares (OPLS) technique to reveal insights to the sorption mechanism was also performed. The obtained results showed the new 3D-printed sorbent can be an attractive basis for the new sample preparation approach for metabolic stability studies and an alternative for commercially available protocols based on solid-phase microextraction (SPME) or solid-phase extraction (SPE) principles.",2020,Journal of chromatography. A,"3D-printed sorbent, Advances in pharmaceutical analysis, Metabolic stability, Microsomes, Solid-phase microextraction (SPME)","Adsorption, Least-Squares Analysis, Pharmaceutical Preparations, Printing, Three-Dimensional, Quantitative Structure-Activity Relationship, Solid Phase Microextraction",10.1016/j.chroma.2020.461501,"Department of Pharmaceutical Chemistry, Medical University of Gdańsk, Gdańsk, Poland., Department of Pharmaceutical Chemistry, Medical University of Gdańsk, Gdańsk, Poland., Department of Pharmaceutical Chemistry, Medical University of Gdańsk, Gdańsk, Poland., Department of Drug Technology and Pharmaceutical Biotechnology, Medical University of Warsaw, Warsaw, Poland., Department of Drug Technology and Pharmaceutical Biotechnology, Medical University of Warsaw, Warsaw, Poland., Department of Drug Technology and Pharmaceutical Biotechnology, Medical University of Warsaw, Warsaw, Poland., Department of Drug Technology and Pharmaceutical Biotechnology, Medical University of Warsaw, Warsaw, Poland., Department of Drug Technology and Pharmaceutical Biotechnology, Medical University of Warsaw, Warsaw, Poland., Department of Pharmaceutical Chemistry, Medical University of Gdańsk, Gdańsk, Poland. Electronic address: tbaczek@gumed.edu.pl."
Advances in biopharmaceutical analysis in the People's Republic of China 1995-1997.,Z Qin,"The present paper is the third biannual review in succession to the author's previous publications (Z.L. Qin, Advances in biopharmaceutical analysis in the People's Republic of China: 1991-1993, J. Pharm. Biomed Anal. 13, 1995, 1-7 and Z.L. Qin, Advances in biopharmaceutical analysis in the People's Republic of China: 1993-1995, J. Pharm. Biomed. Anal. 14, 1996, 1395-1403), regarding the methodological study and progress in biopharmaceutical analysis by RP-HPLC, GC and GC-MS selected from relative journals between April 1995 and March 1997 in P.R. China. The published methods were widely adopted in pharmacokinetic and metabolic studies. Investigation on drug metabolism were conducted more deeply, both in vitro and in vivo, for searching the structure of metabolites and drug metabolic pathways. The use of high performance CZE as a new trend for the analysis of drugs and metabolites in biofluids was also reported.",No date available,Journal of pharmaceutical and biomedical analysis,No keywords,"Biopharmaceutics, Chemistry, Pharmaceutical, China, Chromatography, Gas, Chromatography, High Pressure Liquid, Gas Chromatography-Mass Spectrometry, Pharmaceutical Preparations, Pharmacokinetics, Toxicity Tests",No DOI available,"Department of Pharmaceutical Analysis, School of Pharmacy, Shanghai Medical University, PR China."
Enantiomers separation by capillary electrochromatography using polysaccharide-based stationary phases.,"Giovanni D' Orazio, María Asensio-Ramos, Chiara Fanali","The separation of chiral compounds is an interesting and important topic of research because these compounds are involved in some biological processes, fundamentally in human health. Among the various application fields where enantiomers are remarkable, drug analysis has to be considered. Most of the drugs contain enantiomers and very often one of the two isomers could be pharmacologically more active or even dangerous. Therefore, the separation of these compounds is very important. Among the different analytical techniques usually employed, capillary electrochromatography has demonstrated great capability in enantiomers resolution. The great potential of this electromigration technique stands mainly in its high efficiency due to the use of an electrosmotic flow (flat flow profile) and on the high selectivity because of the use of a stationary phase. Chiral separation can be obtained utilizing several chiral stationary phases including a polysaccharide derivative. The aim of this review paper is to summarize the main features of capillary electrochromatography and polysaccharide derivatives of chiral stationary phase. It also report examples of practical applications utilizing this approach.",2018,Journal of separation science,"capillary electrochromatography, chiral stationary phases, chirality, enantiomers, polysaccharides","Capillary Electrochromatography, Humans, Pharmaceutical Preparations, Polysaccharides, Stereoisomerism",10.1002/jssc.201800798,"Institute of Chemical Methodologies, Italian National Research Council (C.N.R.), Monterotondo, Italy., Instituto Volcanológico de Canarias (INVOLCAN), Puerto de la Cruz, Tenerife, Spain., Department of Medicine, University Campus Bio-Medico of Rome, Rome, Italy."
What to consider before prescribing inhaled medications: a pragmatic approach for evaluating the current inhaler landscape.,"Federico Lavorini, Christer Janson, Fulvio Braido, Georgios Stratelis, Anders Løkke","Inhaled therapies are the cornerstone of treatment in asthma and chronic obstructive pulmonary disease, and there are a multitude of devices available. There is, however, a distinct lack of evidence-based guidance for healthcare providers on how to choose an appropriate inhaler. This review aims to summarise recent updates on topics related to inhaler choice, and to offer practical considerations for healthcare providers regarding currently marketed devices. The importance of choosing the right inhaler for the right patient is discussed, and the relative merits of dry powder inhalers, pressurised metered dose inhalers, breath-actuated pressurised metered dose inhalers, spacers and soft mist inhalers are considered. Compiling the latest studies in the devices therapy area, this review focuses on the most common types of handling errors, as well as the comparative rates of incorrect inhalation technique between devices. The impact of device-specific handling errors on inhaler performance is also discussed, and the characteristics that can impair optimal drug delivery, such as inhalation flow rate, inhalation volume and particle size, are compared between devices. The impact of patient perceptions, behaviours and problems with inhalation technique is analysed, and the need for appropriate patient education is also highlighted. The continued development of technology in inhaler design and the need to standardise study assessment, endpoints and patient populations are identified as future research needs. <i>The reviews of this paper are available via the supplemental material section</i>.",No date available,Therapeutic advances in respiratory disease,"COPD, asthma, critical errors, dry powder inhaler, inhalation technique, metered dose inhaler","Administration, Inhalation, Asthma, Drug Delivery Systems, Equipment Design, Humans, Medication Errors, Nebulizers and Vaporizers, Pharmaceutical Preparations, Practice Patterns, Physicians', Pulmonary Disease, Chronic Obstructive",1753466619884532,"Careggi University Hospital, Department of Experimental and Clinical Medicine, Largo Brambilla 3, 50134, Florence, Italy., Department of Medical Sciences: Respiratory, Allergy and Sleep Research, Uppsala University, Akademiska sjukhuset, Uppsala, Sweden., Allergy and Respiratory Disease Clinic, DIMI-University of Genova, IRCCS AOU San Martino-IST, Genova, Italy., Department of Medical Sciences: Respiratory, Allergy and Sleep Research, Uppsala University, Akademiska sjukhuset, Uppsala, Sweden., Department of Respiratory Diseases and Allergy, Aarhus University Hospital, Aarhus C, Denmark."
A mechanistic approach to understanding oral drug absorption in pediatrics: an overview of fundamentals.,"Nir Debotton, Arik Dahan","The common phrase 'children are not little adults' is very true also in the field of oral drug administration and absorption. However, in practice, due to the little available data and lack of in-depth understanding, physicians may treat kids as if they were 'little adults', even without being aware of the potential differences and risks. With respect to drug discovery, research and development, an in-depth understanding of the various factors governing age-dependent absorption is crucial when trying to develop a pediatric-tailored oral drug product. In this paper we clarify the various mechanisms that may lead to age-dependent oral drug absorption, we provide an overview of the currently available data, and draw conclusions to the coming years.",2014,Drug discovery today,No keywords,"Administration, Oral, Age Factors, Animals, Child, Drug Design, Drug Discovery, Humans, Pediatrics, Pharmaceutical Preparations, Pharmacokinetics",10.1016/j.drudis.2014.03.014,"Department of Chemical Engineering, Shenkar College of Engineering and Design, 52526 Ramat-Gan, Israel., Department of Clinical Pharmacology, School of Pharmacy, Faculty of Health Sciences, Ben-Gurion University of the Negev, Beer-Sheva 84105, Israel. Electronic address: arikd@bgu.ac.il."
Advanced imaging techniques for tracking drug dynamics at the subcellular level.,"Chengying Zhang, Zhiqi Tian, Rui Chen, Fiona Rowan, Kangqiang Qiu, Yujie Sun, Jun-Lin Guan, Jiajie Diao","Optical microscopes are an important imaging tool that have effectively advanced the development of modern biomedicine. In recent years, super-resolution microscopy (SRM) has become one of the most popular techniques in the life sciences, especially in the field of living cell imaging. SRM has been used to solve many problems in basic biological research and has great potential in clinical application. In particular, the use of SRM to study drug delivery and kinetics at the subcellular level enables researchers to better study drugs' mechanisms of action and to assess the efficacy of their targets in vivo. The purpose of this paper is to review the recent advances in SRM and to highlight some of its applications in assessing subcellular drug dynamics.",2023,Advanced drug delivery reviews,"Absorption and transport, Distribution, Drug design, Metabolism and excretion, Nanoparticles, Super-resolution microscopy","Humans, Animals, Drug Delivery Systems, Microscopy, Pharmaceutical Preparations",10.1016/j.addr.2023.114978,"Department of Cancer Biology, University of Cincinnati College of Medicine, Cincinnati, OH 45267, USA., Department of Cancer Biology, University of Cincinnati College of Medicine, Cincinnati, OH 45267, USA., Department of Chemistry, University of Cincinnati, Cincinnati, OH 45221, USA., Department of Cancer Biology, University of Cincinnati College of Medicine, Cincinnati, OH 45267, USA., Department of Cancer Biology, University of Cincinnati College of Medicine, Cincinnati, OH 45267, USA., Department of Chemistry, University of Cincinnati, Cincinnati, OH 45221, USA., Department of Cancer Biology, University of Cincinnati College of Medicine, Cincinnati, OH 45267, USA., Department of Cancer Biology, University of Cincinnati College of Medicine, Cincinnati, OH 45267, USA. Electronic address: jiajie.diao@uc.edu."
Analytical method for calculation of deviations from intended dosages during multi-infusion.,"Maurits K Konings, Roland A Snijder, Joris H Radermacher, Annemoon M Timmerman","In this paper, a new method is presented that combines mechanical compliance effects with Poiseuille flow and push-out effects (""dead volume"") in one single mathematical framework for calculating dosing errors in multi-infusion set-ups. In contrast to existing numerical methods, our method produces explicit expressions that illustrate the mathematical dependencies of the dosing errors on hardware parameters and pump flow rate settings.",2017,Biomedical engineering online,"Catheter, Dosing error, Infusion, Mathematical model, Poiseuille flow, Safety","Catheters, Computer Simulation, Drug Combinations, Infusion Pumps, Infusions, Intravenous, Models, Chemical, Pharmaceutical Preparations, Reproducibility of Results, Rheology, Sensitivity and Specificity",18,"Department of Medical Technology and Clinical Physics, University Medical Center Utrecht, Room AZU - C.01.230, P.O. Box 85500, 3508 GA, Utrecht, The Netherlands. M.Konings@umcutrecht.nl., Department of Medical Technology and Clinical Physics, University Medical Center Utrecht, Room AZU - C.01.230, P.O. Box 85500, 3508 GA, Utrecht, The Netherlands., Department of Medical Technology and Clinical Physics, University Medical Center Utrecht, Room AZU - C.01.230, P.O. Box 85500, 3508 GA, Utrecht, The Netherlands., Department of Medical Technology and Clinical Physics, University Medical Center Utrecht, Room AZU - C.01.230, P.O. Box 85500, 3508 GA, Utrecht, The Netherlands."
Schirmer Paper Noninvasive Microsampling for Direct Mass Spectrometry Analysis of Human Tears.,"Ya-Nan Yao, Dandan Di, Zi-Cheng Yuan, Lin Wu, Bin Hu","Rapid and sensitive detection of metabolites and chemical residues in human tears is highly beneficial for understanding eye health. In this study, Schirmer paper was used for noninvasive microsampling of human tears, and then paper spray mass spectrometry (PSMS) was performed for direct analysis of human tears. Schirmer PSMS was successfully used for rapid diagnosis of dry-eye syndrome by detecting the volume and metabolites of human tears. Drugs of abuse, therapeutic drugs, and pharmacodynamics in human tears were also investigated by Schirmer PSMS. Furthermore, specific markers of environmental exposures in the air to human eyes, including volatile organic compounds, aerosol, and smoke, were unambiguously sampled and detected in human tears using Schirmer PSMS. Excellent analytical performances were achieved, including single-use, low-sample consumption (1.0 μL), rapid analysis (the whole analytical procedure completed within 3 min), high sensitivity (absolute limit of detection less than or equal to 0.5 pg, signal-to-noise ratio greater than or equal to 3), good reproducibility (relative standard deviation less than 10%, <i>n</i> = 3), and accurate quantitation (average deviation less than 3%, <i>n</i> = 3). Overall, our results showed that Schirmer PSMS is a highly effective method for direct tear analysis and is expected to be a convenient tool for human tear analysis in significant clinical applications.",2020,Analytical chemistry,No keywords,"Anti-Bacterial Agents, Dry Eye Syndromes, Humans, Limit of Detection, Mass Spectrometry, Metabolome, Ophthalmic Solutions, Paper, Point-of-Care Systems, Principal Component Analysis, Reproducibility of Results, Signal-To-Noise Ratio, Specimen Handling, Tears, Volatile Organic Compounds",10.1021/acs.analchem.9b05078,"Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air Pollution, Jinan University, Guangzhou 510632, China., Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air Pollution, Jinan University, Guangzhou 510632, China., Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air Pollution, Jinan University, Guangzhou 510632, China., Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air Pollution, Jinan University, Guangzhou 510632, China., Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air Pollution, Jinan University, Guangzhou 510632, China."
